Case,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Id,Withdrawal_reason__c,Withdrawal_code__c,Index
Perfect Match,003f400000KvxYaAAJ,001f400000Lvhz1AAB,2019-04-08,2019-06-04,2016-04-13,Transferred out,Associate's or Certificate (TBD),NSC,,,1275,003f400000KvxYaAAJ,001f400000Lvhz1AAB,2019-04-08,2019-06-04,2016-04-13,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f400000KZCHXAA5,,,2941
Perfect Match,003f400000KvxYaAAJ,001f400000LvlNKAAZ,2017-08-23,,2016-04-13,Attending,Bachelor's,NSC,,,1274,003f400000KvxYaAAJ,001f400000LvlNKAAZ,2017-08-23,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n7IoAAI,,,1634
Perfect Match,003f40000169hreAAA,001f400000LvlNKAAZ,2019-08-28,,2016-04-13,Attending,Bachelor's,NSC,,,503,003f40000169hreAAA,001f400000LvlNKAAZ,2019-08-28,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGaAAAV,,,3216
Perfect Match,003f40000169hsFAAQ,001f400000LvhzxAAB,2019-08-24,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,453,003f40000169hsFAAQ,001f400000LvhzxAAB,2019-08-24,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KbGd0AAF,,,3392
Perfect Match,003f40000169hsFAAQ,001f400000LvhPMAAZ,2019-09-25,,2016-04-13,Attending,Bachelor's,NSC,,,452,003f40000169hsFAAQ,001f400000LvhPMAAZ,2019-09-25,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGczAAF,,,3391
Perfect Match,003f400000TlTRZAA3,001f400000LvhyxAAB,2018-09-04,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,647,003f400000TlTRZAA3,001f400000LvhyxAAB,2018-09-04,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000BmFW6AAN,,,2691
Perfect Match,003f40000169i2QAAQ,001f400000LvhpTAAR,2019-09-25,,2016-04-13,Attending,Bachelor's,NSC,,,29,003f40000169i2QAAQ,001f400000LvhpTAAR,2019-09-25,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGaTAAV,,,3235
Perfect Match,003f400000KvxYmAAJ,001f400000LvhyZAAR,2017-08-16,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1232,003f400000KvxYmAAJ,001f400000LvhyZAAR,2017-08-16,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KbGcCAAV,,,3342
Perfect Match,003f400000KvxYmAAJ,001f400000LvhPgAAJ,2019-08-26,,2016-04-13,Attending,Bachelor's,NSC,,,1231,003f400000KvxYmAAJ,001f400000LvhPgAAJ,2019-08-26,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGcDAAV,,,3343
Perfect Match,003f400000KvxfnAAB,001f400000LvhyxAAB,2017-09-05,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3739,003f400000KvxfnAAB,001f400000LvhyxAAB,2017-09-05,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n7B6AAI,,,1303
Perfect Match,003f400000KvxJyAAJ,001f400000LvhisAAB,2018-06-18,,2016-04-13,Attending,Bachelor's,NSC,,,3109,003f400000KvxJyAAJ,001f400000LvhisAAB,2018-06-18,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Bli63AAB,,,2436
Attending but DB had T/W,003f400000KvxJyAAJ,001f400000LvhyrAAB,2013-07-01,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3108,003f400000KvxJyAAJ,001f400000LvhyrAAB,2013-07-01,2018-03-30,2018-11-28,Transferred out,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n7IvAAI,,,1636
Perfect Match,003f400000KvxMuAAJ,001f400000LvhPGAAZ,2019-08-19,,2016-04-13,Attending,Bachelor's,NSC,,,2641,003f400000KvxMuAAJ,001f400000LvhPGAAZ,2019-08-19,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGiSAAV,,,3730
Perfect Match,003f400000KvxMuAAJ,001f400000LvhPRAAZ,2014-10-02,2015-04-20,2016-04-13,Withdrew,Bachelor's,NSC,,,2640,003f400000KvxMuAAJ,001f400000LvhPRAAZ,2014-10-02,2015-04-20,2016-04-13,Withdrew,Bachelor's,NSC,,,a02f4000006n7M8AAI,,,1720
Perfect Match,003f400000KvxMuAAJ,001f400000LvhyZAAR,2016-01-20,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2639,003f400000KvxMuAAJ,001f400000LvhyZAAR,2016-01-20,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n7M9AAI,,,1721
